#Summary for tree KOSI07.
#
#SUBSTITUTION_MODEL, dAIC, LOG_LIKELIHOOD, FREE_PARAMETERS, MAXIMUM_LIKELIHOOD_PARAMETERS, EMPIRICAL_PARAMETERS
combined_FracTolerated, 0, -12334.6, 0, 0, 0
replicate_A_FracTolerated, 67.859, -12368.5, 0, 0, 0
replicate_B_FracTolerated, 106.183, -12387.7, 0, 0, 0
combined_HalpernBruno, 356.834, -12513, 0, 0, 0
replicate_A_HalpernBruno, 391.495, -12530.3, 0, 0, 0
replicate_B_HalpernBruno, 454.805, -12562, 0, 0, 0
GY94_CF3x4_M8_rates-one, 1183.43, -12912.3, 14, 5, 9
GY94_CF3x4_M2a_rates-one, 1209.41, -12925.3, 14, 5, 9
GY94_CF3x4_omega-global-gamma4_rates-one, 1219.56, -12932.4, 12, 3, 9
GY94_CF3x4_omega-global-one_rates-gamma4, 1493.09, -13069.1, 12, 3, 9
KOSI07_F_M2a_rates-one, 1675.96, -13107.6, 65, 5, 60
KOSI07_F_M8_rates-one, 1676.62, -13107.9, 65, 5, 60
KOSI07_F_omega-global-gamma4_rates-one, 1753.29, -13148.2, 63, 3, 60
GY94_CF3x4_omega-global-one_rates-one, 1762.2, -13204.7, 11, 2, 9
KOSI07_F_omega-global-one_rates-gamma4, 1834.26, -13188.7, 63, 3, 60
GY94_CF3x4_omega-branchlocal-one_rates-gamma4, 1980.84, -12769, 556, 547, 9
KOSI07_F_omega-global-one_rates-one, 2256.76, -13401, 62, 2, 60
KOSI07_F_omega-branchlocal-one_rates-gamma4, 2324.05, -12889.6, 607, 547, 60
randomize1_combined_FracTolerated, 3741.27, -14205.2, 0, 0, 0
randomize1_replicate_A_FracTolerated, 3809.45, -14239.3, 0, 0, 0
randomize1_replicate_B_FracTolerated, 3841.42, -14255.3, 0, 0, 0
randomize1_combined_HalpernBruno, 4387.56, -14528.4, 0, 0, 0
randomize1_replicate_B_HalpernBruno, 4557.92, -14613.6, 0, 0, 0
randomize1_replicate_A_HalpernBruno, 4620.76, -14645, 0, 0, 0
